Code;Description;Transaction Category Code;MCC Category
"3690";Courtyard Inns;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3691";Dillon Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3692";Doubletree;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3693";Drury Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3694";Economy Inns of America;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3695";Embassy Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3696";Excel Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3697";Fairfield Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3698";Harley Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3699";Midway Motor Lodge;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3700";Motel 6;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3701";La Mansion Del Rio;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3702";The Registry Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3703";Residence Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3704";Royce Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3705";Sandman Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3706";Shilo Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3707";Shoney’s Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3708";Virgin River Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3709";Super 8 Motels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3710";The Ritz Carlton Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3711";Flag Inns (Australia);Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3712";Buffalo Bill’s Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3713";Quality Pacific Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3714";Four Seasons Hotels — Austr;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3715";Fairfield Inn;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3716";Carlton Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3717";City Lodge Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3718";Karos Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3719";Protea Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3720";Southern Sun Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3721";Hilton Conrad Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3722";Wyndham Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3723";Rica Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3724";Inter Nor Hotels;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3725";SeaPines Plantation;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3726";Rio Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3727";Broadmoor Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3728";Bally’s Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
